Class,Idx
Asterionellopsis, 0
Chaetoceros, 1
Cylindrotheca, 2
Dactyliosolen, 3
Dinobryon, 4
Ditylum, 5
Licmophora, 6
Phaeocystis, 7
Pleurosigma, 8
Pseudonitzschia, 9
Rhizosolenia, 10
Skeletonema, 11
Thalassiosira, 12
detritus, 13
pennate, 14
